Edge Density,Fractal Dimension,GLCM Contrast,LBP Uniformity,Label
-0.296576691320803,-0.24920296606607026,-0.07868011152039825,0.8402975940968186,0
-0.31428228608182385,1.3009087232161598,-0.2691975504413942,-0.6783284451936181,0
-0.3277030745018115,-0.24920296606607026,-0.3440021465964945,-0.7581536901802535,0
-0.29323866798713843,-0.24920296606607026,-0.08177925107389455,-0.5477281889055108,0
-0.33953159033326097,-0.24920296606607026,-0.34981027494827555,-0.7284300037754448,0
-0.2733120421115775,-0.24920296606607026,-0.23137143967240184,-0.6387434641577469,0
-0.31928301283468385,-0.2516326082122807,-0.3621589947627025,0.7412054975824183,0
-0.31494966566597793,-0.2516326082122807,-0.3326011244076302,-0.6720639189923705,0
-0.3016072642648593,-0.24920296606607026,-0.339561520612008,-0.13760373852109178,0
-0.3310550775407605,-0.24920296606607026,-0.30174615613899963,-0.2070682238246147,0
-0.34044979265920233,-0.24920296606607026,-0.36088961868844965,-0.5071932360676272,0
-0.3339777500943167,-0.24920296606607026,-0.3262535703961915,-0.4361148740711189,0
-0.34191170589894465,-0.2516326082122807,-0.3258849452278825,-0.29481309956971746,0
-0.34191170589894465,-0.2054694074342832,-0.3557185309753772,-0.5486899318881023,0
-0.06921920690262037,1.3324940711168949,-0.18466219409437368,-0.7497246754080847,0
-0.3147863625834135,-0.1447283537790234,-0.3209503307048607,-0.42078082462200816,0
-0.24130523519128783,-0.24920296606607026,0.0782409763019511,-0.7488461096350499,0
-0.24912287670597139,-0.11557264802449871,-0.20573684703492853,0.26175928985136526,0
0.9881021025726892,3.672239457917503,0.28100749924732066,-0.7697604091515531,0
-0.2805852306990612,-0.24920296606607026,-0.002256530095269336,-0.7583403339989787,0
-0.24130523519128783,-0.24920296606607026,0.0800520736382267,-0.7604465996316365,0
-0.34191170589894465,-0.24920296606607026,-0.38149893069038904,0.34203182259819065,0
-0.30646397684164783,-0.24920296606607026,-0.22866400012389718,-0.27003509782002144,0
-0.2881036400584618,-0.24920296606607026,-0.18031245753614294,-0.22525468036459204,0
0.24185423524424932,-0.24677332391985987,0.25185871071705074,-0.572832588800845,0
0.07108138005489101,6.522209695422292,0.10173036392053914,-0.600534947883796,0
-0.12330999176872734,-0.24920296606607026,0.48559981184134066,0.06212947070894916,0
2.8372167664107213,-0.24920296606607026,1.3248939625784812,-0.8701948251579676,0
0.15436009405217083,-0.24920296606607026,0.004587400713142584,-0.6441333560150334,0
-0.34191170589894465,-0.2516326082122807,-0.38193996988218476,0.7847408436198396,0
-0.30178882849600214,-0.1811729859721793,-0.21976391480635224,-0.5570130325192345,0
-0.19470516439711483,-0.24434368177364948,-0.3235210558794721,-0.6355147297830934,0
-0.18018359472401543,-0.2078990495804936,-0.23576033029053145,-0.6639207797029116,0
-0.34191170589894465,-0.2516326082122807,-0.3770159994260446,-0.28832370228895154,0
-0.34191170589894465,-0.24920296606607026,-0.3736334702741171,0.47290396228148207,0
-0.34191170589894465,-0.24434368177364948,-0.32278726717292366,-0.6574105680614886,0
-0.273282223050087,-0.24920296606607026,0.08382228312251068,-0.6182650971502791,0
5.180886713873846,-0.2127583338729144,7.2924608166213325,-0.7834718986805848,0
0.7491485428793235,-0.24920296606607026,0.1503456390890297,-0.8061743849661969,0
5.384016553941129,-0.0062387514450310665,7.4346701756739355,-0.8289125610554481,0
-0.2567144824408788,-0.2516326082122807,-0.3170253114457085,0.9012398821976761,0
0.43115120964287684,0.780965303927136,0.24607813482784435,-0.7982041590608713,0
-0.2573462458872552,-0.24920296606607026,-0.08224260812659664,-0.1109798130723423,0
0.2592847577135705,-0.24920296606607026,0.008037423053212884,-0.7682318410072719,0
-0.20571259104046938,-0.2516326082122807,-0.17584732973615672,-0.6298454025087381,0
-0.3389689462472404,-0.24920296606607026,-0.3701268047807137,-0.41936109168721536,0
-0.035822729046868326,-0.24434368177364948,0.1849982828217994,-0.5541652411540844,0
1.298933322840882,-0.24920296606607026,0.6260883806989341,-0.8113085643020136,0
-0.34191170589894465,-0.24920296606607026,-0.359175532853747,-0.7391510594831646,0
-0.34191170589894465,-0.24920296606607026,-0.36386000481363806,-0.2943310864493034,0
-0.2934715533359988,-0.24920296606607026,-0.027677645932710607,-0.6304048483757614,0
-0.34191170589894465,-0.24920296606607026,-0.35136785193495307,-0.5921861655860239,0
4.543013743345439,-0.24920296606607026,2.2640548234253197,-0.769518244498308,0
4.431849803489448,-0.23219547104259752,2.671802706721942,-0.7256217709636346,0
-0.31266323221275943,-0.24920296606607026,-0.29358227864755926,-0.3128903362405216,0
-0.2973185945820723,2.4088255418880986,-0.360738416180222,-0.6057439446516152,0
-0.3191700739120394,-0.2516326082122807,-0.3677922936866313,-0.34355704072590076,0
-0.25300743366520984,-0.24920296606607026,-0.09676358801648514,-0.19537333344276053,0
-0.34191170589894465,-0.24920296606607026,-0.3771313569602332,-0.32888039586449175,0
-0.1925934764193059,-0.24920296606607026,-0.21919935989617897,-0.808339084026389,0
-0.27020704776591215,-0.16659513309491694,-0.33838280102563595,-0.13832678428638345,0
0.643603551424529,-0.13258014304797144,0.2548427555834115,-0.7997939214545718,0
-0.19070498663891292,-0.24920296606607026,-0.03664040005363207,-0.734206226241218,0
-0.32742828027196225,-0.13015050090176106,-0.3329310130965786,0.43908368108658913,0
-0.2084862023249457,-0.2516326082122807,-0.005672197678275963,-0.3465174421850998,0
-0.30117862341429597,-0.24920296606607026,-0.13624739352330137,-0.23824766331000674,0
3.887130972505167,2.9457764562005955,1.94813035728316,-0.6437015816559388,0
3.448057025458758,-0.24920296606607026,1.7065075999329296,-0.87101267426317,0
-0.34191170589894465,-0.24920296606607026,-0.3828419453131853,1.1784455772822866,0
3.12123389912318,-0.22490654460396634,3.6015391039806084,-0.8655579569700723,0
-0.33359959027562763,-0.24920296606607026,-0.35583366731599375,-0.7164362955213077,0
-0.34191170589894465,-0.01109803573745185,-0.376390783590809,-0.505323498090856,0
-0.2939761382585295,-0.20303976528807283,-0.16700319543778996,1.6595450353961538,0
-0.29230712659169716,-0.24920296606607026,-0.05285739967773349,-0.6375920541510646,0
-0.34191170589894465,-0.24920296606607026,-0.37618886378750904,-0.21948465457327265,0
-0.3338957530507778,-0.24920296606607026,-0.3655002082218177,-0.6392110443961302,0
-0.33491096836390816,-0.24920296606607026,-0.3542985232870944,-0.7371445632333193,0
-0.34191170589894465,-0.24920296606607026,-0.3595524734410743,-0.6696702508266018,0
1.4529356777675164,-0.24920296606607026,0.7113045998093048,-0.8319468647929655,0
-0.004909116175082036,-0.24920296606607026,-0.03194990147980281,-0.6718809351887289,0
-0.32702860566056896,-0.22247690245775595,-0.31094495992163446,-0.047920865579343545,0
-0.34191170589894465,-0.24920296606607026,-0.333311449785582,-0.6322388527575197,0
-0.33993725154199017,-0.24920296606607026,-0.3627039663388301,-0.7036802098416476,0
-0.3254660892962079,-0.24677332391985987,-0.28532510286947826,-0.7891333281252594,0
-0.31825351172900773,1.228019458829848,-0.27807184656493045,-0.6439905700662469,0
-0.2957612123061571,-0.24920296606607026,-0.24578587671171795,-0.7400926395574371,0
-0.30834213343309513,0.3825039919486317,-0.3552742146967584,-0.6054527355066979,0
-0.3398616341410855,-0.22976582889638714,-0.3575855307257542,-0.6625661619181011,0
0.09684025870715861,-0.24920296606607026,1.3165087120366068,-0.46694863668485437,0
-0.308411847101727,-0.24920296606607026,-0.10269505528102808,-0.7328770648842414,0
-0.34191170589894465,-0.24920296606607026,-0.37598902084630226,-0.019013371114792923,0
